ID,ra,dec,zCNN,NHI_best,Flux,SNR,status,SiII1526_sigma,SiII1526_dv,SiII1526_3sigUL,CII1334_sigma,CII1334_dv,CII1334_3sigUL,OI1302_sigma,OI1302_dv,OI1302_3sigUL,AlII1670_sigma,AlII1670_dv,AlII1670_3sigUL,n_lines_ok,solo_hits,pair_hit,detected,candidate_metalpoor,max_3sig_UL
41428716.0,30.0362667,-5.8130534,2.83870028,20.688575,1.612,3.764,ok,5.6926575,250.0,0.38617585985069913,15.216245,200.0,0.16967118789392072,,,,5.102117,200.0,0.3216105348342066,3,"SiII1526,CII1334,AlII1670",True,True,False,0.38617585985069913
31780423.0,38.537387,-7.8521245,2.31806062,20.704526,6.178,10.062,ok,3.6488829,-50.0,0.09923321099162999,9.816852,50.0,0.061456527164772484,-1.7623291,500.0,0.05662626119892748,4.6465673,50.0,0.09332254300358526,4,"SiII1526,CII1334,AlII1670",True,True,False,0.09923321099162999
28880225.0,34.3705132,-8.5687076,2.37974716,20.988971,3.316,4.947,ok,9.360706,-50.0,0.19862619311564064,9.6166115,0.0,0.13003445147426917,8.750542,50.0,0.1931809676161787,8.080501,0.0,0.23999696573984064,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.23999696573984064
32599476.0,30.700182,-7.7794378,2.87778945,20.489435,4.727,9.704,ok,4.882629,50.0,0.14718745591643456,37.450607,200.0,0.05730840678542375,12.680756,500.0,0.16380084331153513,5.2596917,50.0,0.13961940692669894,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.16380084331153513
31693747.0,39.7808863,-8.0046765,2.78254716,20.565897,1.881,3.507,ok,1.4644033,-200.0,0.7894995087645224,0.66166824,-150.0,0.20398449290632464,-2.1154754,100.0,0.15700298791387726,0.39492777,400.0,0.5574315562223606,4,,False,False,True,0.7894995087645224
35074267.0,39.2597653,-7.1228213,2.19804297,20.656983,4.206,3.902,ok,11.344122,50.0,0.17415717602253433,19.462645,50.0,0.09795087289917073,15.000613,500.0,0.15633059447488007,11.639502,50.0,0.18108513041121496,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.18108513041121496
27771184.0,33.3789239,-9.0226111,2.23209657,20.759102,3.148,4.793,ok,6.269584,100.0,0.1682905441489691,13.829275,100.0,0.08646480456622538,13.425159,150.0,0.11853265523074205,5.0700326,100.0,0.12615327879190869,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1682905441489691
25686804.0,36.5508063,-9.4447018,2.34413954,20.7174,3.441,7.475,ok,3.1119986,50.0,0.15832092712851614,9.293997,200.0,0.14340152141833418,9.97931,100.0,0.1392601918621382,3.854975,50.0,0.21552101892203407,4,"CII1334,OI1302,AlII1670",True,True,False,0.21552101892203407
32599476.0,30.700182,-7.7794378,3.17815309,20.719811,4.727,9.704,ok,5.756778,50.0,0.141552245916715,1.4141159,-100.0,0.32534970462252455,10.597923,50.0,0.08382117646511565,3.29228,50.0,0.17192196083488426,4,"SiII1526,OI1302",True,True,False,0.32534970462252455
42101842.0,32.3210294,-5.8277643,2.42992244,20.873196,2.493,3.7,ok,0.6766286,-250.0,0.32934880225587093,-3.7177095,450.0,0.16769718088884836,5.6199694,500.0,0.2297539920446333,1.8535715,-100.0,0.35872007217803203,4,OI1302,False,True,False,0.35872007217803203
46957667.0,4.6275731,-4.6108404,2.57342291,20.51491,1.955,4.173,ok,7.9924736,50.0,0.2537353410413177,6.6708007,-100.0,0.3405903476296878,5.2204742,-50.0,0.32216413368992036,3.8590448,-100.0,0.4362144316156783,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.4362144316156783
47912445.0,0.2906479,-4.4228465,2.58083427,20.853272,1.724,3.541,ok,5.2212257,-50.0,0.2775932424376979,19.77943,-100.0,0.10802730370524033,17.077463,-200.0,0.14081135478380774,3.9923103,-100.0,0.29609305176145667,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.29609305176145667
46980692.0,2.5878205,-4.7280738,3.08398603,21.466574,1.138,3.275,ok,2.9322314,50.0,0.7610897882222863,5.35954,200.0,0.27513518601910136,9.759608,150.0,0.13878046921967152,1.968413,150.0,0.4369187192166088,4,"CII1334,OI1302",True,True,False,0.7610897882222863
32961317.0,38.577244,-7.5622664,2.36731851,20.700614,8.524,10.042,ok,7.9966598,-50.0,0.08775424944256857,14.522689,0.0,0.06883288348501196,10.061439,-500.0,0.05539656551541575,8.937606,0.0,0.09857648739825432,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.09857648739825432
44031505.0,4.8302467,-5.2464172,2.23731027,20.481072,2.363,3.823,ok,6.1211066,-100.0,0.27275898705793816,10.873941,-150.0,0.21175435692216504,7.4917927,450.0,0.28521198784572044,6.782257,-150.0,0.28627181593716977,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.28627181593716977
47312317.0,15.5225725,-4.6333578,2.523581,21.168744,3.389,6.67,ok,1.9594234,250.0,0.17145143285521813,6.478165,-200.0,0.16559479581032066,3.9661696,-200.0,0.18747503357846113,3.940757,-150.0,0.24841366002893311,4,"CII1334,OI1302,AlII1670",True,True,False,0.24841366002893311
45242912.0,358.123815,-5.1236433,3.47182032,21.131664,2.209,4.669,ok,2.484311,-400.0,0.32548828572644734,1.7445819,-100.0,0.3853772259578885,2.8476229,-50.0,0.22588964080044804,0.7279697,-500.0,0.40195920597133916,4,,False,False,True,0.40195920597133916
42182449.0,11.0964685,-5.701481,2.23507461,20.526112,1.593,3.086,ok,1.1175051,-450.0,0.4150787023714717,1.6007521,450.0,0.44535131381404536,2.110675,-50.0,0.40191354680627256,1.3104398,-100.0,0.5416155236177337,4,,False,False,True,0.5416155236177337
41719375.0,19.0881234,-5.7983127,2.14835972,20.516874,2.162,3.591,ok,6.6177115,150.0,0.2782229962985924,4.600138,0.0,0.35408179143732155,2.606513,100.0,0.3932779222377796,1.7573129,150.0,0.3776405049577571,4,"SiII1526,CII1334",True,True,False,0.3932779222377796
47477021.0,18.1184724,-4.644219,2.81578855,20.594295,2.443,7.124,ok,2.4825256,50.0,0.2328218020670037,10.394865,0.0,0.11234346696296743,5.249794,0.0,0.0742862291359472,2.9085486,0.0,0.2096538751129582,4,"CII1334,OI1302",True,True,False,0.2328218020670037
41306714.0,23.9874085,-5.9335189,3.05307217,20.518383,2.154,4.358,ok,3.7205656,-150.0,0.3921400931890863,4.214213,-100.0,0.13052669694373314,9.10872,-100.0,0.2342783259584681,2.2767131,-150.0,0.34422399598237363,4,"SiII1526,CII1334,OI1302",True,True,False,0.3921400931890863
42349561.0,24.1456009,-5.7616595,2.36809491,21.007312,1.782,4.049,ok,3.886461,-100.0,0.24403461646580818,9.129183,-150.0,0.1684048245307756,5.4861345,-100.0,0.12372443413401417,3.2107239,-150.0,0.3215439723341948,4,"SiII1526,CII1334,OI1302",True,True,False,0.3215439723341948
46604094.0,18.2536395,-4.6763089,2.4433743,20.614036,2.187,3.331,ok,1.1945554,-100.0,0.2946035043267036,2.1720364,0.0,0.22688434859477769,1.8563141,-400.0,0.1747578334217205,1.7296915,50.0,0.30326462549398153,4,,False,False,True,0.30326462549398153
47675614.0,27.8299852,-4.4515194,2.48726005,21.210646,1.744,3.301,ok,2.5388157,250.0,0.2907886150607256,3.2461658,350.0,0.3560817536626792,4.9536195,100.0,0.41269119269594945,3.6581607,250.0,0.3924091438022596,4,"OI1302,AlII1670",True,True,False,0.41269119269594945
32102205.0,40.8203774,-7.8847181,2.27856959,20.613247,2.237,4.052,ok,2.4937255,50.0,0.375911706849373,1.7474991,-500.0,0.35238932443568655,2.268725,-400.0,0.3388235061509156,1.5047657,150.0,0.4756922366384987,4,,False,False,True,0.4756922366384987
36950442.0,42.875828,-6.7973854,2.77732454,21.022135,1.554,3.586,ok,2.1345806,-450.0,0.3917262955988936,11.344338,-300.0,0.16458271177960118,20.355204,150.0,0.10283365247331079,-1.2297015,-100.0,0.33128620089061284,4,"CII1334,OI1302",False,True,False,0.3917262955988936
33153115.0,0.4820242,-7.5857475,2.46245698,20.366991,4.327,6.775,ok,4.340408,100.0,0.2130527620638082,11.870663,50.0,0.07791669337461793,15.373955,100.0,0.09474569508759154,-0.06248944,-350.0,0.2325396819557386,4,"SiII1526,CII1334,OI1302",True,True,False,0.2325396819557386
43088757.0,28.8780869,-5.5588161,2.80438439,20.705195,2.092,3.675,ok,2.371223,-150.0,0.4250433213412789,2.7060509,450.0,0.3686006998081481,4.760544,-100.0,0.4060430173084498,1.4828231,400.0,0.6236944131926903,4,OI1302,True,True,False,0.6236944131926903
45216063.0,11.1687985,-5.129803,2.78603218,21.228076,2.074,4.021,ok,3.5039277,250.0,0.5279647654832551,5.039866,200.0,0.17779805783144811,2.5887938,150.0,0.12316745285098674,1.0090108,450.0,0.49263013828504765,4,"SiII1526,CII1334",True,True,False,0.5279647654832551
30439590.0,3.4466764,-8.2913047,2.52439315,20.926201,3.099,5.535,ok,2.545857,-100.0,0.26626541962426364,3.2691674,-150.0,0.09358556250880987,9.625736,-200.0,0.16344558399499642,2.0862708,-500.0,0.3688193473965135,4,OI1302,True,True,False,0.3688193473965135
37964927.0,6.5594398,-6.5697592,2.40709471,20.537106,3.936,6.059,ok,10.059598,-100.0,0.15942823955608051,19.01061,-150.0,0.11099885253461098,18.754221,-50.0,0.08654297423004467,9.649635,-100.0,0.2252078166816051,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.2252078166816051
29406348.0,16.7242713,-8.4614921,2.27253471,21.156304,3.684,6.671,ok,16.357225,-50.0,0.1798824101533812,17.328138,50.0,0.14995609147562267,17.955227,-50.0,0.14336035879874512,11.806624,0.0,0.2769031034530639,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.2769031034530639
35891004.0,3.6864297,-6.876186,3.13603591,20.4885,3.482,9.062,ok,10.474886,50.0,0.13514478558475534,31.647352,0.0,0.05800411457179527,27.676853,50.0,0.050742439337858325,12.847662,0.0,0.10643864311968364,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.13514478558475534
33044336.0,6.6712073,-7.5124381,2.27027559,20.333094,24.676,6.647,ok,11.886925,-50.0,0.10144986113055673,13.930437,0.0,0.08543903786196784,10.250193,-50.0,0.06859845389517333,9.940141,0.0,0.10845723882246652,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.10845723882246652
40056856.0,9.79778,-6.1905122,2.54637137,20.632178,1.754,3.392,ok,2.3420246,-500.0,0.32773136641761186,1.4675986,50.0,0.2955966839715314,3.5850477,-450.0,0.2735845785172735,1.5041989,-100.0,0.5105321732297154,4,OI1302,True,True,False,0.5105321732297154
29923259.0,13.147605,-8.3226064,3.03073647,20.629206,2.802,7.266,ok,4.924597,-50.0,0.23588714762531732,11.497908,0.0,0.11354695217435623,11.265062,0.0,0.07547685754311087,4.4348407,50.0,0.16705589571514656,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.23588714762531732
