ID,zQSO,zCNN,Conf,NHIcnn,Flux,SNR,Plate,MJD,Fiber,ra,dec,NHIfit,NHI_best
31780423,2.53593463,2.31806062,1.0,20.718627,6.178,10.062,4389,55539,808,38.537387,-7.8521245,20.704526,20.704526
35074267,2.47688663,2.19804297,1.0,20.592381,4.206,3.902,4389,55539,956,39.2597653,-7.1228213,20.656983,20.656983
31693747,3.06696849,2.78254716,1.0,20.342935,1.881,3.507,4389,55539,984,39.7808863,-8.0046765,20.565897,20.565897
25686804,2.82180827,2.34413954,1.0,20.682421,3.441,7.475,4392,55833,252,36.5508063,-9.4447018,20.7174,20.7174
27771184,2.5064672,2.23209657,1.0,20.696073,3.148,4.793,4395,55828,473,33.3789239,-9.0226111,20.759102,20.759102
28880225,2.75270241,2.37974716,1.0,20.85298,3.316,4.947,4395,55828,740,34.3705132,-8.5687076,20.988971,20.988971
32599476,3.30814648,2.87778945,1.0,20.640364,4.727,9.704,4397,55921,686,30.700182,-7.7794378,20.489435,20.489435
32599476,3.30814648,3.17815309,1.0,20.652236,4.727,9.704,4397,55921,686,30.700182,-7.7794378,20.719811,20.719811
41428716,3.29709244,2.83870028,1.0,20.582883,1.612,3.764,4398,55946,508,30.0362667,-5.8130534,20.688575,20.688575
42101842,2.74717627,2.42992244,1.0,21.006776,2.493,3.7,4398,55946,994,32.3210294,-5.8277643,20.873196,20.873196
32961317,2.55467122,2.36731851,1.0,20.625388,8.524,10.042,4399,55811,324,38.577244,-7.5622664,20.700614,20.700614
45242912,3.54402287,3.47182032,1.0,21.191936,2.209,4.669,7033,56565,356,358.123815,-5.1236433,21.131664,21.131664
47912445,2.87924593,2.58083427,1.0,20.662207,1.724,3.541,7034,56564,698,0.2906479,-4.4228465,20.853272,20.853272
46980692,3.33709848,3.08398603,1.0,21.183343,1.138,3.275,7035,56568,160,2.5878205,-4.7280738,21.466574,21.466574
46957667,3.12662265,2.57342291,1.0,20.598919,1.955,4.173,7036,56569,940,4.6275731,-4.6108404,20.51491,20.51491
44031505,2.64496892,2.23731027,1.0,20.612256,2.363,3.823,7037,56570,392,4.8302467,-5.2464172,20.481072,20.481072
45216063,3.02898299,2.78603218,1.0,21.090237,2.074,4.021,7040,56574,29,11.1687985,-5.129803,21.228076,21.228076
