ID,ra,dec,zCNN,NHI_best,Flux,SNR,status,SiII1526_sigma,SiII1526_dv,CII1334_sigma,CII1334_dv,OI1302_sigma,OI1302_dv,AlII1670_sigma,AlII1670_dv,n_lines_ok,solo_hits,pair_hit,detected,candidate_metalpoor,MH,source
75105084.0,357.7411589,-0.8694215,2.61646528,21.216423,7.038,14.83,ok,19.693352,-500.0,69.45535278320312,-100.0,26.2020263671875,-200.0,11.523173,-150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.93,Rafelski2012_lit
183227390.0,188.656466,7.9787099,2.3372164,20.785196,11.938,15.446,ok,15.603557,50.0,23.565948486328125,0.0,-3.153857946395874,0.0,22.165703,0.0,4,"SiII1526,CII1334,AlII1670",True,True,False,-1.22,Rafelski2012_lit
212114027.0,129.8874592,11.2018188,2.46484924,20.625287,5.52,8.577,ok,12.360653,50.0,29.07976531982422,-100.0,30.311193466186523,50.0,7.492075,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.1,Rafelski2012_lit
210580984.0,205.0105979,11.1083876,2.79563311,20.783454,4.362,7.437,ok,2.671029,350.0,6.768972873687744,0.0,3.7846009731292725,50.0,2.5389957,150.0,4,"CII1334,OI1302",True,True,False,-1.67,Rafelski2012_lit
267020339.0,186.529972,17.6138676,2.46405035,21.443811,9.847,14.569,ok,24.044733,150.0,50.10528564453125,200.0,41.97598648071289,500.0,22.890945,150.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.54,Rafelski2012_lit
307000273.0,173.7837126,22.4543325,2.78254716,20.6991,15.668,19.788,ok,12.109495,100.0,23.017637252807617,50.0,21.785940170288086,100.0,11.237139,100.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.94,Rafelski2012_lit
390658946.0,137.4194435,33.0632336,3.65890892,20.79833,6.022,9.329,ok,14.044106,-100.0,20.71014976501465,-100.0,18.68836212158203,-50.0,9.843214,-100.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.19,Rafelski2012_new
395081320.0,28.1440532,33.8425596,2.13894891,20.583695,18.529,11.499,ok,4.4687715,150.0,14.720623016357422,200.0,19.82504653930664,150.0,4.904414,200.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-1.44,Rafelski2012_lit
400352403.0,189.6705603,34.6176091,2.47043829,20.76431,11.823,11.211,ok,10.298797,50.0,14.251524925231934,400.0,14.856962203979492,500.0,5.514824,400.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-2.04,Rafelski2012_new
434583773.0,180.1659064,40.2656079,3.2187553,20.909984,7.325,13.586,ok,35.678604,50.0,38.32399368286133,50.0,41.6136474609375,50.0,37.69148,50.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.64,Rafelski2012_new
440948767.0,169.048889,41.3059806,2.66339949,20.335964,9.551,14.878,ok,18.634466,-150.0,46.56098937988281,-150.0,31.421432495117188,-200.0,34.461903,-300.0,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,-0.94,Rafelski2012_lit
