ID,survey,z_abs,arm_anchor,lam_anchor_nm,EW3sig_anchor_A_1hr,EW3sig_anchor_A_2hr,lam_SiII1526_nm,arm_SiII1526,lam_CII1334_nm,arm_CII1334,lam_OI1302_nm,arm_OI1302,lam_AlII1670_nm,arm_AlII1670,lines_outside_anchor_arm
39628066921647023,DESI,3.949516,VIS,601.697811572,0.05048121871560289,0.03569561207636407,755.2961415999999,VIS,660.2654344,VIS,644.4269832,VIS,826.569172,VIS,
39627873329353669,DESI,2.136617,UVB,381.309118839,0.024122804677227376,0.017057398768506038,478.6477542,UVB,418.4247078,UVB,408.3875334,UVB,523.8150390000001,UVB,
39627544298786261,DESI,2.368899,UVB,409.546944733,0.02755573879079578,0.01948484975957689,514.0939874,UVB,449.4111266,UVB,438.63064979999996,UVB,562.606133,VIS,AlII1670
356960035,SDSS,2.457676,UVB,420.339298292,0.03449501039494114,0.024391655767363324,527.6413576,UVB,461.25397840000005,UVB,450.1894152,UVB,577.4318920000001,VIS,AlII1670
39628061435498050,DESI,2.28615,UVB,399.48739705,0.012456736861098681,0.008808243105939306,501.46649,UVB,438.37241000000006,UVB,427.85672999999997,UVB,548.78705,UVB,
357580815,SDSS,2.437829,UVB,417.926558043,0.04996646878218393,0.03533162890782819,524.6127054,UVB,458.6063886,UVB,447.6053357999999,UVB,574.117443,VIS,AlII1670
167657155,SDSS,2.539029,UVB,430.229138443,0.02701178871633822,0.019100218973301022,540.0558254,UVB,472.1064686,UVB,460.7815758,UVB,591.0178430000001,VIS,AlII1670
39627829331105031,DESI,2.112898,UVB,378.425671166,0.05768019778768492,0.0407860589958533,475.02823479999995,UVB,415.2605932,UVB,405.29931959999993,UVB,519.853966,UVB,
39627673214913842,DESI,2.280463,UVB,398.796045521,0.040113558391540224,0.028364569156180623,500.5986538,UVB,437.61376420000005,UVB,427.1162826,UVB,547.837321,UVB,
39628019890914673,DESI,3.924484,VIS,598.654746428,0.11326197718769102,0.08008831212001236,751.4762583999999,VIS,656.9261656,VIS,641.1678167999999,VIS,822.388828,VIS,
357433147,SDSS,2.62814253,UVB,441.06240294451,0.02956531791190941,0.02090583678344724,553.6545500779999,UVB,483.994213502,UVB,472.38415740599993,UVB,605.89980251,VIS,AlII1670
39627630147799297,DESI,2.194707547121217,UVB,388.37101238088496,0.03565724572765566,0.025213480252460372,487.5123716906977,UVB,426.1739867859704,UVB,415.9509226351824,UVB,533.5161603692433,UVB,
39627914995566750,DESI,2.699287007740914,UVB,449.71122367003966,0.06146113994910188,0.043459588837465354,564.5111973812635,VIS,493.484886832638,UVB,481.64716840786696,UVB,617.7809302927327,VIS,"SiII1526,AlII1670"
337474503,SDSS,3.14747982,UVB,504.19667927794,0.038847788156589604,0.027469534439622953,632.905420532,VIS,553.273807988,UVB,540.001872564,UVB,692.62912994,VIS,"SiII1526,AlII1670"
39628055039184537,DESI,2.610530213282852,UVB,438.9213264381564,0.12481895605879861,0.0882603302498022,550.9669105469632,UVB,481.6447304519325,UVB,470.09103376942727,UVB,602.9585456182363,VIS,AlII1670
286256548,SDSS,3.35897424,UVB,529.90742143408,0.07007513405689708,0.049550602484188314,665.179469024,VIS,581.4871636160001,VIS,567.538446048,VIS,727.94869808,VIS,"SiII1526,CII1334,OI1302,AlII1670"
39627932607450554,DESI,2.655987785122647,UVB,444.4474670740048,0.09252526031100552,0.06542523899696252,557.9037360097159,UVB,487.7087705353611,UVB,476.0096096229686,UVB,610.549960115482,VIS,AlII1670
39628029600728208,DESI,2.4450306987748185,UVB,418.8020469579584,0.054711962477800774,0.03868719968007687,525.7116846330373,UVB,459.5670952165608,UVB,448.54299698048135,UVB,575.3201266953947,VIS,AlII1670
39628353837207447,DESI,2.2244146316574,UVB,391.9824135266952,0.026433176219885543,0.018691078153380055,492.04567279091924,UVB,430.13691186309717,UVB,419.81878504179343,UVB,538.4772434867858,UVB,
39628468111017219,DESI,4.072698537279735,VIS,616.6727430814856,0.18380870664388088,0.12997238290901697,774.0937967888876,VIS,676.6979848731168,VIS,660.4653495538215,VIS,847.1406557257158,VIS,
220877041,SDSS,3.11987842,UVB,500.84125988414,0.06716968149038868,0.047496137271994365,628.693446892,VIS,549.5917812280001,UVB,536.408170284,UVB,688.01969614,VIS,"SiII1526,AlII1670"
39628309717322250,DESI,2.6535545142856507,UVB,444.15166163816366,0.13487237703919977,0.09536917239916697,557.5324188799902,UVB,487.38417220570585,UVB,475.69279775999166,UVB,610.1436038857037,VIS,AlII1670
39628190045439524,DESI,2.705039678422576,UVB,450.41055858679726,0.07671512844800972,0.05424578754518469,565.3890549272851,VIS,494.2522931015717,UVB,482.39616613061935,UVB,618.7416262965702,VIS,"SiII1526,AlII1670"
191300069,SDSS,2.30890547,UVB,402.25371127149,0.054309271368605305,0.03840245406604122,504.938974722,UVB,441.407989698,UVB,430.81949219399996,UVB,552.58721349,UVB,
39627789938203693,DESI,2.142762907020656,UVB,382.0562583177801,0.04630734029927602,0.032744234344331165,479.5856196113521,UVB,419.24457179655553,UVB,409.1877304940894,UVB,524.8414054724495,UVB,
39628025532256101,DESI,2.5867952798588427,UVB,436.0359417865999,0.13109814063855035,0.09270038424646666,547.3449597064593,UVB,478.47849033316965,UVB,467.0007454376213,UVB,598.9948117364268,VIS,AlII1670
144875103,SDSS,2.61313545,UVB,439.23803725015,0.04966074595525337,0.03511545022374207,551.36446967,UVB,481.99226903000005,UVB,470.43023559,UVB,603.3936201500001,VIS,AlII1670
39628055584442937,DESI,2.322809590252988,UVB,403.943993458285,0.07039574341254214,0.04977730753367676,507.06074347260596,UVB,443.26279933974865,UVB,432.629808650939,UVB,554.909201572249,UVB,
145966598,SDSS,3.60028036,UVB,559.24228252412,0.06810848013432894,0.04815996815929324,702.002782936,VIS,613.677400024,VIS,598.956502872,VIS,768.24682012,VIS,"SiII1526,CII1334,OI1302,AlII1670"
39627660296454227,DESI,2.743969598294387,UVB,455.14315215585367,0.04452549294879217,0.03148427799976475,571.3297606997234,VIS,499.44554441247124,UVB,487.4648416979291,UVB,625.2429229151626,VIS,"SiII1526,AlII1670"
39628311462151649,DESI,2.039721858674863,UVB,369.529867193527,0.030886439753353773,0.021840010996306208,463.86155563378406,UVB,405.49889594722674,UVB,395.7717859994671,UVB,507.6335503987021,UVB,
212390691,SDSS,3.44820054,UVB,540.75439504618,0.20721597272584638,0.14652381948461268,678.795402404,VIS,593.3899520360001,VIS,579.1557103079999,VIS,742.8494901800001,VIS,"SiII1526,CII1334,OI1302,AlII1670"
39627896179918338,DESI,2.050311305292016,UVB,370.8171944504345,0.029010570863122403,0.020513571383406724,465.47750518756163,UVB,406.91152812595493,UVB,397.15053194902043,UVB,509.4019879837667,UVB,
215894597,SDSS,2.38753969,UVB,411.81303749423,0.03988470398049636,0.028202744650227055,516.938556694,UVB,451.897794646,UVB,441.057667638,UVB,565.71912823,VIS,AlII1670
39628108478811333,DESI,1.974372757453228,UVB,361.5855730053165,0.02787037749080965,0.01970733291798042,453.88928278736256,UVB,396.7813258442606,UVB,387.26333302041024,UVB,496.7202504946891,UVB,
39627715044705448,DESI,2.4414147152247785,UVB,418.3624626857306,0.05776921534421421,0.04084900391371982,525.1598855433011,UVB,459.08472301098544,UVB,448.07219592226613,UVB,574.716257442538,VIS,AlII1670
39627865427280023,DESI,2.133311154553427,UVB,380.90723712559645,0.06375657484578685,0.045082706418683546,478.1432821848529,UVB,417.98370801742715,UVB,407.9571123228561,UVB,523.2629628104223,UVB,
39627928991962339,DESI,3.851982771924405,VIS,589.8409896345341,0.11743157069204188,0.08303665996173024,740.4125709956642,VIS,647.2545017747157,VIS,631.7281569045574,VIS,810.2811229113756,VIS,
94135026,SDSS,3.60770112,VIS,560.1444020550399,0.13306891919940614,0.09409393513106484,703.135190912,VIS,614.667329408,VIS,599.9226858239999,VIS,769.4860870399999,VIS,
39627595309908260,DESI,2.40745511250663,UVB,414.2340956620935,0.03995419898514882,0.028251885039275403,519.9776501685117,UVB,454.55451200838445,UVB,443.65065564836317,UVB,569.0450037886072,VIS,AlII1670
