target_idx,target_ID,zCNN,rafelski_qso,z_abs_ref,MH,source,sep_arcsec,dv_kms
204,75105084.0,2.61646528,Q2348-01,2.6147,-1.93,Rafelski2012_lit,0.18,146.40706843118397
758,183227390.0,2.3372164,Q1232+08,2.3371,-1.22,Rafelski2012_lit,1.55,10.45693629534774
882,212114027.0,2.46484924,Q0836+11,2.4653,-1.1,Rafelski2012_lit,0.46,-38.99646448160668
916,210580984.0,2.79563311,Q1337+11,2.7959,-1.67,Rafelski2012_lit,0.03,-21.078429125027643
1269,267020339.0,2.46405035,Q1223+17,2.4661,-1.54,Rafelski2012_lit,0.07,-177.27982791601633
1545,307000273.0,2.78254716,HS1132+2243,2.7835,-1.94,Rafelski2012_lit,0.16,-75.4999988583956
2093,390658946.0,3.65890892,J0909+3303,3.6584,-1.19,Rafelski2012_new,0.55,32.75166961304319
2172,395081320.0,2.13894891,Q0149+33,2.1408,-1.44,Rafelski2012_lit,0.09,-176.6883663650248
2196,400352403.0,2.47043829,J1238+3437,2.4714,-2.04,Rafelski2012_new,0.58,-83.05392774763727
2405,434583773.0,3.2187553,J1200+4015,3.22,-0.64,Rafelski2012_new,0.28,-88.42456693663416
2446,440948767.0,2.66339949,J1116+4118,2.6633,-0.94,Rafelski2012_lit,0.13,8.141935316922046
2611,469108640.0,2.66761929,J1241+4617,2.6674,-1.84,Rafelski2012_new,0.48,17.925911576270636
2654,475562239.0,3.01683757,HS0741+4741,3.0174,-1.62,Rafelski2012_lit,0.06,-41.9704963789866
2758,492130137.0,3.31702287,J0825+5127,3.318,-1.67,Rafelski2012_new,0.37,-67.84071433198345
2873,500807775.0,2.83428367,J1353+5328,2.8349,-1.38,Rafelski2012_new,0.56,-48.18146122172401
2916,506424358.0,2.6828525,J1035+5440,2.684,-0.62,Rafelski2012_lit,0.04,-93.3799797923517
3193,367391810.0,3.76084843,PSS1535+2943,3.7612,-1.97,Rafelski2012_lit,0.02,-22.13686349221838
3219,488235138.0,3.70743466,J0814+5029,3.7075,-2.08,Rafelski2012_lit,0.12,-4.1611129486339165
3315,146393570.0,3.69228412,PSS0133+0400,3.6919,-2.39,Rafelski2012_lit,1.45,24.543634554655814
3316,146393570.0,3.77072409,PSS0133+0400,3.7736,-0.7,Rafelski2012_lit,1.45,-180.61340034498932
3340,214228731.0,4.4023695,J1100+1122,4.3947,-1.68,Rafelski2012_new,0.53,426.20688020295205
3346,234044958.0,4.27939647,PSS2241+1352,4.2833,-1.72,Rafelski2012_lit,0.03,-221.49960319812175
3351,253512066.0,4.47122219,J1607+1604,4.4741,-1.71,Rafelski2012_new,0.58,-157.60503709414164
